OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	604	664	757	808	1030	1303	428	318	424	918	1044	1194	123	87	24	807	178	523	281	1925	2466	756	589	77	297	935	776	54	59	78	42	91	68	363	311	1328	185	277	374	335	684	470	614	1139	0	51	46	101	49	45	980	67	73	174	43	189	197	67	213	108	145	152	177	171	212	574	98	114	161	189	152	208	178	392	188	179	468	234	466	396	582	114	686	98	393	367	306	439	120	174	603	334	425	730	895	185	545	83	434	0	72	50	69	140	132	191	162	220	207	196
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	11	18	16	19	27	20	0	0	0	0	0	0	0	616	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	6	0	0	6745	4019	11356	0	0	0	4683	28	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	919	979	1989	2314	2179
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured	10	215	8	308	309	465	319	308	253	405	541	594	516	162	32	553	227	222	222	16	562	340	13	0	375	234	10	250	6	135	102	0	0	0	129	376	314	329	521	304	577	215	441	448	9	0	156	5	324	0	424	235	191	69	16	257	0	200	0	0	295	246	83	245	5	0	0	136	158	0	25	3	121	395	325	238	172	126	13	65	203	10	11	48	465	0	63	70	338	125	14	14	13	321	647	17	342	23	12	0	0	86	0	0	12	130	152	283	285	260
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	78	65	90	10	27	16	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	95	236	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4642	5323	5149	3602	3858	3775
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	10	22	28	112	157	184	363	381	419	206	212	279	56	56	9	206	277	407	13	7	26	0	109	0	196	207	11	17	0	0	0	104	93	0	181	300	143	366	351	154	212	104	129	217	5	0	20	0	0	0	152	133	49	165	87	328	135	0	0	0	48	564	39	631	187	318	0	217	347	17	0	0	36	31	482	536	668	115	0	20	548	332	138	161	511	176	112	190	304	236	323	108	64	83	212	206	364	134	74	25	31	146	0	381	105	95	106	137	133	118
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9234	10410	10612	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	284	306	347	305	415	482	75	100	77	334	348	453	208	40	0	43	19	20	58	198	329	111	146	31	228	176	176	41	21	34	19	6	26	0	131	556	69	116	192	251	185	79	169	349	0	36	38	57	42	8	287	37	21	56	5	0	0	0	0	38	81	15	2	10	12	81	0	8	7	0	4	28	8	6	136	63	100	24	21	66	166	65	101	81	316	17	132	178	323	166	1047	431	323	324	595	221	195	67	133	0	37	33	0	12	8	15	16	32	25	22
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	344	482	396	0	0	0	0	0	0	0	0	0	0	0	0	3616	5359	0	5649	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	46	53	548	480	406
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2310	2353	2647	1558	1559	1566
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3139	2071	1806	2717	2711	1774
