sample_biological_replicate	Sample Name	Run	Sample Name	Library Name	SampleID	Gender	SampleNumber	CageID	Run	MouseID	Generation	AgeWeeks	Strain	GroupGenAge	GroupAge	GroupGeneration	Group	Housing	Description
fecal sample from human microbiota-associated C57BL/6NTac mice 17	85.2	SRR7722080	85.2	85_2	85.02.00	F	168	15	2	24	F1	10-Nov	C57BL6/NTac	A_F1_10-11	A_10-11	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 29	88.2	SRR7722170	88.2	88_2	88.02.00	F	171	2	2	3	P	17-18	C57BL6/NTac	A_P_17-18	A_17-18	A_P	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 30	94.2	SRR7722184	94.2	94_2	94.02.00	M	178	16	2	9	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 31	96.1	SRR7722190	96.1	96_1	96.01.00	M	89	3	1	8	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 20	1.4	SRR7722182	1.4	1_4	1.04	F	270	12	4	32	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 1	2.2	SRR7722092	2.2	2_2	2.02	M	91	99	2	18	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 21	3.2	SRR7722183	3.2	3_2	3.02	F	92	98	2	39	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 2	5.1	SRR7722090	5.1	5_1	5.01	F	5	12	1	32	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 3	8.1	SRR7722086	8.1	8_1	8.01	F	8	10	1	24	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 22	9.2	SRR7722178	9.2	9_2	9.02	F	98	1	2	9	P	17-18	C57BL6/NTac	B_P_17-18	B_17-18	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 23	10.2	SRR7722179	10.2	10_2	10.02	F	99	98	2	40	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 24	19.4	SRR7722149	19.4	19_4	19.04	F	287	2	4	11	P	17-18	C57BL6/NTac	B_P_17-18	B_17-18	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 4	25.1	SRR7722126	25.1	25_1	25.01.00	M	24	7	1	15	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 25	31.2	SRR7722151	31.2	31_2	31.02.00	F	119	12	2	31	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 26	32.2	SRR7722150	32.2	32_2	32.02.00	F	120	8	2	20	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 5	33.3	SRR7722119	33.3	33_3	33.03.00	M	212	11	3	27	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 6	36.2	SRR7722121	36.2	36_2	36.02.00	M	124	11	2	30	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 7	36.4	SRR7722122	36.4	36_4	36.04.00	F	304	2	4	11	P	10-Nov	C57BL6/NTac	B_P_10-11	B_10-11	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 8	41.2	SRR7722116	41.2	41_2	41.02.00	M	128	99	2	17	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 9	44.1	SRR7722114	44.1	44_1	44.01.00	F	42	1	1	10	P	10-Nov	C57BL6/NTac	B_P_10-11	B_10-11	B_P	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 27	44.4	SRR7722167	44.4	44_4	44.04.00	F	311	10	4	24	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 28	45.3	SRR7722168	45.3	45_3	45.03.00	F	223	8	3	21	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 10	46.3	SRR7722112	46.3	46_3	46.03.00	F	224	12	3	31	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 11	52.2	SRR7722099	52.2	52_2	52.02.00	M	139	9	2	23	F1	10-Nov	C57BL6/NTac	B_F1_10-11	B_10-11	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 29	52.4	SRR7722156	52.4	52_4	52.04.00	M	319	9	4	22	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
fecal sample from mouse microbiota-associated C57BL/6NTac mice 30	53.4	SRR7722175	53.4	53_4	53.04.00	F	320	12	4	33	F1	17-18	C57BL6/NTac	B_F1_17-18	B_17-18	B_F1	B	Isolator	B_Isolator
