OTU_ID	SRR7722074	SRR7722075	SRR7722076	SRR7722077	SRR7722078	SRR7722079	SRR7722080	SRR7722081	SRR7722082	SRR7722083	SRR7722084	SRR7722085	SRR7722086	SRR7722087	SRR7722088	SRR7722089	SRR7722090	SRR7722091	SRR7722092	SRR7722093	SRR7722094	SRR7722095	SRR7722096	SRR7722097	SRR7722098	SRR7722099	SRR7722100	SRR7722101	SRR7722102	SRR7722103	SRR7722104	SRR7722105	SRR7722106	SRR7722107	SRR7722108	SRR7722109	SRR7722110	SRR7722111	SRR7722112	SRR7722113	SRR7722114	SRR7722115	SRR7722116	SRR7722117	SRR7722118	SRR7722119	SRR7722120	SRR7722121	SRR7722122	SRR7722123	SRR7722124	SRR7722125	SRR7722126	SRR7722127	SRR7722128	SRR7722129	SRR7722130	SRR7722131	SRR7722132	SRR7722133	SRR7722134	SRR7722135	SRR7722136	SRR7722137	SRR7722138	SRR7722139	SRR7722140	SRR7722141	SRR7722142	SRR7722143	SRR7722144	SRR7722145	SRR7722146	SRR7722147	SRR7722148	SRR7722149	SRR7722150	SRR7722151	SRR7722152	SRR7722153	SRR7722154	SRR7722155	SRR7722156	SRR7722157	SRR7722158	SRR7722159	SRR7722160	SRR7722161	SRR7722162	SRR7722163	SRR7722164	SRR7722165	SRR7722166	SRR7722167	SRR7722168	SRR7722169	SRR7722170	SRR7722171	SRR7722172	SRR7722173	SRR7722174	SRR7722175	SRR7722176	SRR7722177	SRR7722178	SRR7722179	SRR7722180	SRR7722181	SRR7722182	SRR7722183	SRR7722184	SRR7722185	SRR7722186	SRR7722187	SRR7722188	SRR7722189	SRR7722190	taxonomy
8462a7658656492190f3b8967408cc70	256	63	0	0	56	351	0	718	0	0	162	0	206	379	125	0	46	0	102	181	25	154	0	0	0	0	0	124	0	378	210	0	0	0	174	205	0	0	94	482	100	487	188	1187	1894	117	0	27	0	0	0	0	390	126	0	0	0	68	27	429	0	0	237	659	362	0	152	477	1234	0	323	280	171	27	0	0	0	447	577	0	0	1124	355	409	389	298	1400	153	321	145	0	429	777	790	296	116	0	0	0	190	0	460	0	0	0	457	84	0	281	504	0	247	629	196	264	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
1ab77364ee1af09ed9429b38afa763b4	0	226	0	0	291	310	0	220	344	502	41	0	57	329	625	0	73	0	117	260	274	448	0	150	0	0	0	702	322	1309	502	0	0	0	792	462	70	0	537	248	102	336	289	274	850	21	0	112	93	227	0	0	5	124	71	0	0	489	106	77	15	76	412	113	946	0	94	1241	390	222	406	37	28	229	0	47	121	194	791	0	0	308	0	308	123	405	380	157	112	29	0	184	647	279	238	768	0	0	0	129	0	123	0	0	43	128	411	0	151	100	0	407	27	277	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
f01bab034dd2cf6e0cc0ca00362c5d94	22	8	49	184	0	76	326	419	100	0	0	170	904	703	27	15	102	118	34	69	0	0	3657	0	247	51	46	70	12	109	34	416	74	51	0	0	41	0	92	244	295	41	38	195	144	24	73	29	87	48	12	36	606	34	16	23	884	0	0	815	0	187	114	159	95	24	0	99	628	101	242	14	19	18	264	38	63	124	177	15	140	846	60	176	46	244	421	49	198	353	151	1421	162	182	102	95	92	412	88	58	80	18	217	780	22	58	17	0	58	36	591	58	427	134	51	0	303	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__A2
712c292af8ee5a5639d5db5f2ae6c9ca	0	0	0	0	436	0	0	521	0	0	0	0	0	948	0	0	45	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	69	2186	0	132	0	86	0	0	215	1252	0	0	0	95	366	0	0	189	0	958	0	0	0	115	308	0	87	520	0	0	0	0	0	3164	871	259	163	43	140	0	0	0	0	503	0	0	378	0	234	0	219	0	84	238	85	0	2115	213	0	227	0	0	0	0	46	0	49	0	0	0	0	0	109	0	0	0	76	62	501	3419	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
bd37bba0006c2826308aeba900969621	23	0	0	0	123	0	0	349	253	0	0	0	0	602	0	0	15	0	0	319	170	0	0	13	0	0	0	1912	0	1413	1083	0	0	0	0	1083	27	0	229	342	75	0	0	377	0	0	0	0	0	354	0	0	0	0	0	0	0	1013	0	221	0	63	597	0	0	0	0	0	926	495	1035	0	28	219	0	0	189	0	2234	0	0	726	0	0	0	352	566	539	71	28	0	453	1322	321	390	0	0	0	0	112	0	86	0	0	9	0	262	0	160	159	0	0	0	465	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
bffb97805f4506ed9a0a15086d8df76a	0	0	774	1736	0	0	926	0	0	0	0	509	0	0	0	1000	0	0	0	0	0	0	927	0	237	0	1545	0	0	0	0	0	1785	235	0	0	0	257	0	0	0	0	0	0	0	0	308	0	0	0	0	704	0	0	0	1094	554	0	0	0	0	0	0	0	0	265	0	0	0	0	29	0	0	0	529	0	0	0	0	30	205	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	486	517	638	0	1135	0	3144	0	0	0	0	0	0	0	274	0	0	0	0	830	442	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
21c9d42827977d6dcd877db30ce0576c	66	116	0	0	116	25	0	259	734	90	139	0	48	0	349	0	139	0	768	137	187	475	0	260	0	554	0	0	310	508	714	0	0	0	28	239	0	0	754	154	0	127	608	0	100	1188	0	1174	24	0	0	0	436	64	44	0	0	242	0	27	0	0	0	70	63	0	448	99	0	0	189	62	0	53	0	206	642	229	0	0	0	364	114	164	208	73	162	854	117	98	0	0	1784	127	601	0	0	0	0	256	0	400	0	0	259	170	0	356	111	416	0	0	0	398	421	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
5e3dda1802024ef87dec13edf3ffd0a9	0	0	0	526	0	0	1121	0	0	0	0	344	0	0	0	0	0	552	0	0	0	0	0	0	153	0	348	0	0	0	0	0	0	158	0	0	0	117	0	0	0	0	0	0	0	0	516	0	0	0	242	0	0	0	0	231	683	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	977	0	0	0	0	1212	1626	0	0	0	0	0	0	0	0	0	998	0	0	0	0	0	752	1982	0	0	580	0	0	3596	0	0	0	0	0	0	297	0	0	0	2	56	0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__Ruminococcus_sp.
1b1543433c142f4c004e628e1b030d39	0	0	0	0	0	0	0	323	459	0	0	0	220	231	0	0	85	0	0	306	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	157	683	94	0	0	331	146	0	0	0	0	0	0	0	265	0	398	0	0	0	0	323	0	291	285	615	0	0	0	0	958	167	216	0	0	0	0	0	418	0	354	0	0	1004	0	478	211	308	603	258	338	355	0	1186	260	0	592	443	0	0	96	73	0	0	0	0	0	0	0	0	0	0	0	0	802	299	948	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
2cd74a39d13144bcd836655a052c43af	0	0	0	677	0	0	0	0	0	0	0	391	0	0	0	649	0	766	0	0	0	0	753	0	258	0	1469	0	0	0	0	468	521	454	0	0	0	545	0	0	0	0	0	0	0	0	605	0	0	0	965	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	292	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	1061	0	0	0	0	0	394	954	357	0	0	0	1300	534	0	0	0	0	0	0	143	0	0	0	0	19	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium; s__metagenome
